,Model,Sharpe,Return,Std
119,mw_1.0_lambda_100_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,36.46252084044027,0.010760434612328632,0.0002951094538804987
179,mw_1.0_lambda_100_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,34.78220313521445,0.010830252385272274,0.00031137338664747867
59,mw_1.0_lambda_100_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,32.56062024597615,0.010220290365368763,0.0003138850024403877
118,mw_1.0_lambda_50_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,20.258783441147315,0.011363965571964015,0.0005609401771323955
58,mw_1.0_lambda_50_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,17.431708695272125,0.01018845428310513,0.0005844782322382699
178,mw_1.0_lambda_50_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,15.91199968192027,0.01142446736740418,0.0007179781043098581
53,mw_0.8_lambda_100_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,9.002326591022934,0.013001861417721836,0.001444277908189558
52,mw_0.8_lambda_50_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,8.924436682261652,0.013203612649992555,0.001479489756057798
113,mw_0.8_lambda_100_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,8.598247776813974,0.013102200608607987,0.001523822172691902
173,mw_0.8_lambda_100_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,8.442698973548124,0.0133533593529372,0.0015816457977211671
112,mw_0.8_lambda_50_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,8.122775933880988,0.013437533032003611,0.0016543030537078081
172,mw_0.8_lambda_50_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,7.178261931240236,0.014790787259780778,0.0020604970118755857
117,mw_1.0_lambda_10_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,5.372348388883601,0.01693454459592171,0.003152167985040298
46,mw_0.6000000000000001_lambda_50_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,4.9436646152961705,0.01554156182541251,0.0031437330472066072
47,mw_0.6000000000000001_lambda_100_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,4.898827487945916,0.015483050343324993,0.003160562477740373
107,mw_0.6000000000000001_lambda_100_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,4.846581301956122,0.015633614319558505,0.0032256993838623207
167,mw_0.6000000000000001_lambda_100_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,4.736679727514587,0.015989508928674543,0.003375678713465497
106,mw_0.6000000000000001_lambda_50_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,4.717130449542382,0.01602469753116892,0.0033971283394809457
111,mw_0.8_lambda_10_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,4.670015878738386,0.018985905891575894,0.004065490650259839
166,mw_0.6000000000000001_lambda_50_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,4.559824452350266,0.01671689732858046,0.0036661273922429377
51,mw_0.8_lambda_10_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,4.257772306894134,0.010614309492024248,0.0024929255786735435
45,mw_0.6000000000000001_lambda_10_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,4.094267738407958,0.014516179379936597,0.0035454885482357735
177,mw_1.0_lambda_10_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,4.08053651009272,0.01291473159013352,0.0031649592052884405
57,mw_1.0_lambda_10_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,4.012957634343101,0.008560668124679543,0.0021332565416133224
105,mw_0.6000000000000001_lambda_10_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,3.8283478492479275,0.020174418063255588,0.00526974529423151
44,mw_0.6000000000000001_lambda_5_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,3.564577916147525,0.01568137482569337,0.004399223468971403
171,mw_0.8_lambda_10_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,3.4985645602790947,0.01807017946778997,0.005165026729233328
116,mw_1.0_lambda_5_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,3.4748008384401015,0.02178959419729716,0.006270746212631538
110,mw_0.8_lambda_5_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,3.3957826305136436,0.021908188673482352,0.006451587471065112
101,mw_0.4_lambda_100_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,3.3876378504522613,0.020416240022396996,0.006026689074710674
41,mw_0.4_lambda_100_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,3.369170916450283,0.020615076145191133,0.006118738602585031
100,mw_0.4_lambda_50_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,3.3549708189848557,0.020693889466918126,0.006168128005709351
50,mw_0.8_lambda_5_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,3.341472350026426,0.010094734571474707,0.0030210438734873486
40,mw_0.4_lambda_50_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,3.3166197188655713,0.021129264380228538,0.006370722654768413
161,mw_0.4_lambda_100_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,3.2446828096059166,0.021967617513105095,0.006770343605874121
104,mw_0.6000000000000001_lambda_5_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,3.1917065459298573,0.024013214743584952,0.007523628628768267
165,mw_0.6000000000000001_lambda_10_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,3.0968290610169475,0.025541156804963397,0.008247519091859756
160,mw_0.4_lambda_50_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,3.0844206927541586,0.024079006159387698,0.007806654330893796
39,mw_0.4_lambda_10_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.9387601566525254,0.0260931423494359,0.008878962881801828
99,mw_0.4_lambda_10_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.8731122086825653,0.02659781786402598,0.009257493593061623
159,mw_0.4_lambda_10_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.7527062514765044,0.031015835364280868,0.011267397437574208
164,mw_0.6000000000000001_lambda_5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.7521772968975013,0.03364037775231668,0.012223186998250113
38,mw_0.4_lambda_5_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.72408470736196,0.031022250175885287,0.011388137120716648
170,mw_0.8_lambda_5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.661774675082122,0.028803114875746032,0.010821019203985547
176,mw_1.0_lambda_5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.5896442735856993,0.015120755232876395,0.005838931388031817
207,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_Historical,2.5764634441043173,0.04938646666656246,0.019168316468674444
98,mw_0.4_lambda_5_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.5733063475171725,0.034466134442781925,0.013393716016764274
95,mw_0.2_lambda_100_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.5145565991378525,0.0283732492729773,0.011283599376011432
35,mw_0.2_lambda_100_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.507328582100993,0.02854838191967657,0.01138597554523736
195,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_ARIMA-GARCH,2.495439753571514,0.1989744579077178,0.07973522807871532
34,mw_0.2_lambda_50_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.4899945974769264,0.029044314296222777,0.011664408559622152
56,mw_1.0_lambda_5_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.4863058145090706,0.0066747632265155375,0.00268461071343852
94,mw_0.2_lambda_50_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.4845084229279495,0.02922956677832332,0.01176472838996327
158,mw_0.4_lambda_5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.467106463166726,0.0427923944984937,0.01734517546663401
155,mw_0.2_lambda_100_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.4660220750594877,0.03021533939784774,0.012252663795444272
154,mw_0.2_lambda_50_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.4291434765348447,0.03242253620473712,0.013347312136122823
203,mw_0.8_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Historical,2.398444261805243,0.07563123259076734,0.03153345432919996
184,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_ARIMA-GARCH,2.3962253823448862,0.1206626209535567,0.050355288714736546
11,mw_0.4_lambda_100_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,2.378670603265821,0.038133300030792204,0.016031349602772527
196,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_ARIMA-GARCH,2.368789665172538,0.19722620169941538,0.0832603268239309
197,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_ARIMA-GARCH,2.361662086058376,0.19766167007892302,0.08369600005258211
33,mw_0.2_lambda_10_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.3549004687358366,0.034416648238893656,0.014614905681075041
153,mw_0.2_lambda_10_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.3535584281882787,0.0402416311406021,0.017098207828041594
125,mw_0.2_lambda_100_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,2.319863757833122,0.05533081710546139,0.02385089077694087
17,mw_0.6000000000000001_lambda_100_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,2.3139737089569685,0.028239364853818203,0.012203839976447785
194,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_ARIMA-GARCH,2.304936315490872,0.16624063756614815,0.07212374435201895
37,mw_0.4_lambda_1_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.29312728206681,0.0386392133161562,0.01685000811700711
201,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Historical,2.283228529924974,0.021451253845678888,0.009395140943856272
93,mw_0.2_lambda_10_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.2797888198946956,0.03822185402344801,0.016765523933577976
152,mw_0.2_lambda_5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.274801167810191,0.048979157386294034,0.021531181748707825
151,mw_0.2_lambda_1_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.2542383758008695,0.05133935319695113,0.022774589301680068
189,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_ARIMA-GARCH,2.2514089503056316,0.14388005393365008,0.06390667227032129
32,mw_0.2_lambda_5_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.236049545705934,0.04119291340845581,0.018422182767623318
131,mw_0.4_lambda_100_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,2.22576101169884,0.0798380751095144,0.03587001240918359
150,mw_0.2_lambda_0.5_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.2071075818869774,0.05282241546307336,0.0239328684730051
123,mw_0.2_lambda_10_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,2.203201740275666,0.05281263804529572,0.023970858900414525
191,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_ARIMA-GARCH,2.1996682498742826,0.10656863620220453,0.04844759486267769
187,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_ARIMA-GARCH,2.1924250090424313,0.12293183131970811,0.056071168141527496
192,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_ARIMA-GARCH,2.180460203546216,0.130718154892611,0.05994980081728438
71,mw_0.4_lambda_100_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,2.1750761584553158,0.08170781995860546,0.037565498403804076
43,mw_0.6000000000000001_lambda_1_pred_Factor Model_opt_MVO_alpha_0_cvarmethod_na,2.171600154535639,0.032030319969886895,0.014749639754347895
124,mw_0.2_lambda_50_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,2.1580983444776143,0.04930188773933681,0.022845060729274013
77,mw_0.6000000000000001_lambda_100_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,2.1567353135093628,0.06737266358633258,0.031238262370131168
97,mw_0.4_lambda_1_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.140379949117433,0.09684834395291075,0.045248201840446756
122,mw_0.2_lambda_5_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,2.134301881034507,0.04452988103296604,0.020863909378827976
188,mw_0.8_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_ARIMA-GARCH,2.1242978345341315,0.13414613078374024,0.06314845715274155
190,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_ARIMA-GARCH,2.12009727315034,0.13135572776644625,0.06195740611998399
92,mw_0.2_lambda_5_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.1192823987100997,0.051159197361467824,0.024139868000888343
157,mw_0.4_lambda_1_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,2.119229211794671,0.09493217527963685,0.04479561472222415
182,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_ARIMA-GARCH,2.1153993057250284,0.09401715281229786,0.04444416359495522
181,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_ARIMA-GARCH,2.107151870143286,0.0872148821507559,0.041389936523571653
70,mw_0.4_lambda_50_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,2.1065023423890517,0.12526889822688228,0.05946772320452813
10,mw_0.4_lambda_50_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,2.0992176762913486,0.050092907872038364,0.023862655330025916
208,mw_0.8_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_Historical,2.0910767833135053,0.027413427608420197,0.013109718316981683
96,mw_0.4_lambda_0.5_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.083833936922428,0.14802289045181685,0.07103391869624164
103,mw_0.6000000000000001_lambda_1_pred_Price MA_opt_MVO_alpha_0_cvarmethod_na,2.0769416962389537,0.09339783962570636,0.04496892705020876
186,mw_0.4_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_ARIMA-GARCH,2.0733631395630225,0.12521070928471534,0.06039014917141069
5,mw_0.2_lambda_100_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,2.0689543562929953,0.050537586390381604,0.024426631857133497
204,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Historical,2.068032546946951,0.0588286522982422,0.028446676231034806
209,mw_1.0_lambda_0_pred_na_opt_cvar_alpha_0.05_cvarmethod_Historical,2.0644675260501737,0.06145812795134024,0.029769481561632755
202,mw_0.6000000000000001_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Historical,2.050352750659741,0.06564716536301955,0.03201749813142948
193,mw_0.8_lambda_0_pred_na_opt_cvar_alpha_0.1_cvarmethod_ARIMA-GARCH,2.0355820852284103,0.11190458955460904,0.05497424563060662
23,mw_0.8_lambda_100_pred_Factor Model_opt_RMVO_alpha_0_cvarmethod_na,2.032351492498611,0.01908537784267713,0.009390785950718204
76,mw_0.6000000000000001_lambda_50_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,2.0302609047809628,0.17428883724389807,0.08584553681424577
62,mw_0.2_lambda_5_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,2.028539008781279,0.14069655755384608,0.06935856640902105
180,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_ARIMA-GARCH,2.0272275166535,0.10693170639810268,0.052747757969772956
121,mw_0.2_lambda_1_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,2.0267471374553376,0.04925356497900827,0.02430178095174127
198,mw_0.8_lambda_0_pred_na_opt_cvar_alpha_0.5_cvarmethod_ARIMA-GARCH,2.0262334855751676,0.15669507357412,0.07733317739028503
61,mw_0.2_lambda_1_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,2.0234377372614634,0.15112133810007178,0.07468544018784615
137,mw_0.6000000000000001_lambda_100_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,2.0232581666680702,0.0894655893394774,0.04421857319711729
60,mw_0.2_lambda_0.5_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,2.0229969196896596,0.1514300438651251,0.07485431262463584
